X,Y,fid,interferen,idinventar,idinvent_1,distrito,idinvent_2,fechaplant,alturaprim,alturatota,anchoacera,diametroco,distanciae,distanciaf,edadrelati,elemprotec,espaciodis,estadogene,estructura,fasesdesat,tipoformat,inclinacio,cartodb_id,marcoplant,nivelinter,orografiat,perimetrot,porcentpen,singularid,tipologiaa,tipologiac,tipoaguati,tipodanoti,tipointerf,tiporiegot,tipotutort,vitalidadt,esperanzas,riegotipoe,codigoespe,d_especie_,borrado,ninterno,id_inventa,icon_url
-3.69234946198666,40.3950054938662,"229706",,,"523312","2",ARB_02-02_0000523312,,,,,,,,NC,,,,,,,,"229884",,,,,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","523312",,./0.png
-3.69244539640327,40.3950119915362,"229738",,,"523313","2",ARB_02-02_0000523313,,,,,,,,NC,,,,,,,,"229885",,,,,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","523313",,./0.png
-3.69254286424561,40.3950163447908,"229768",,,"523314","2",ARB_02-02_0000523314,,,,,,,,NC,,,,,,,,"229886",,,,,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","523314",,./0.png
-3.69263859365882,40.3950246813804,"229798",,,"523315","2",ARB_02-02_0000523315,,,,,,,,NC,,,,,,,,"229887",,,,,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","523315",,./0.png
-3.69273597010969,40.3950316116162,"229856",,,"523316","2",ARB_02-02_0000523316,,,,,,,,NC,,,,,,,,"229888",,,,,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","523316",,./0.png
-3.69152083370339,40.3950019838618,"230241",,,"523305","2",ARB_02-02_0000523305,,,,,,,,NC,,,,,,,,"229877",,,,,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","523305",,./0.png
-3.69159398849833,40.3949656091216,"230242",,,"523306","2",ARB_02-02_0000523306,,,,,,,,NC,,,,,,,,"229878",,,,,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","523306",,./0.png
-3.69186168815787,40.3949723230616,"230243",,,"523307","2",ARB_02-02_0000523307,,,,,,,,NC,,,,,,,,"229879",,,,,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","523307",,./0.png
-3.69196061531858,40.3949788122366,"230244",,,"523308","2",ARB_02-02_0000523308,,,,,,,,NC,,,,,,,,"229880",,,,,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","523308",,./0.png
-3.69205125879444,40.3949852878416,"230245",,,"523309","2",ARB_02-02_0000523309,,,,,,,,NC,,,,,,,,"229881",,,,,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","523309",,./0.png
-3.69215434245021,40.3949926348636,"230246",,,"523310","2",ARB_02-02_0000523310,,,,,,,,NC,,,,,,,,"229882",,,,,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","523310",,./0.png
-3.69225067060804,40.3949984636665,"230247",,,"523311","2",ARB_02-02_0000523311,,,,,,,,NC,,,,,,,,"229883",,,,,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","523311",,./0.png
-3.67980950496788,40.403714790094,"231440",no,,"522252","3",ARB_02-03_0000522252,2019/12/18,,4.5,4,1,GRANDE,PEQUENA,RC,,,SANO,,,,,"231724",,,,16,,,,,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","522252",,./0.png
-3.66649871007786,40.4530735720267,"231999",,,"522783","5",ARB_02-05_0000522783,,,4.5,,1,,,RC,,,SANO,,,,,"237285",,,,10,,,,,,,,,TUTOR_MADERA,,,,,,"0","522783",,./0.png
-3.67163706045373,40.399273686945,"232032",no,,"518582","3",ARB_02-03_0000518582,2019/01/25,,4.5,4,1,MEDIANA,PEQUENA,NC,,,SANO,,,,"30","231656",,,,16,,,,,REGENERADA,,,,TUTOR_MADERA,,,OTROS,,,"0","518582",,./0.png
-3.66658747934288,40.45262097954,"232066",,,"522784","5",ARB_02-05_0000522784,,,4,,2,,,RC,,,SANO,,,,,"237286",,,,10,,,,,,,,,TUTOR_MADERA,,,,,,"0","522784",,./0.png
-3.67050286071629,40.4084215907594,"232067",no,,"521258","3",ARB_02-03_0000521258,2019/08/06,,4.5,5,1,PEQUENA,MEDIANA,NC,,,SANO,,,,,"231689",,,,16,,,,,REGENERADA,,,,TUTOR_MADERA,,,OTROS,,,"0","521258",,./0.png
-3.6792183241666,40.4034386162524,"232070",no,,"522249","3",ARB_02-03_0000522249,2019/12/18,,4.5,4,1,GRANDE,PEQUENA,RC,,,SANO,,,,"15","231723",,,,16,,,,,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","522249",,./0.png
-3.67996963924301,40.4037832200341,"232091",no,,"522082","3",ARB_02-03_0000522082,2019/12/02,,4.5,4,1,GRANDE,MEDIANA,RC,,,SANO,,,,,"231712",,,,16,,,,,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","522082",,./0.png
-3.66649634604428,40.4176779263089,"232112",no,,"522377","3",ARB_02-03_0000522377,2019/12/05,,4.5,4,1,GRANDE,MEDIANA,RC,,,SANO,,,,"15","231737",,,,16,,,,,REGENERADA,,,,TUTOR_MADERA,,,OTROS,,,"0","522377",,./0.png
-3.68205909805432,40.4046051764965,"232118",no,,"522424","3",ARB_02-03_0000522424,2019/12/02,,4.5,4,1,GRANDE,PEQUENA,RC,,,SANO,,,,"15","231743",,,,16,,,,,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","522424",,./0.png
-3.67787453344409,40.4027221582596,"232119",no,,"522425","3",ARB_02-03_0000522425,2019/12/02,,4.5,4,1,GRANDE,PEQUENA,RC,,,SANO,,,,,"231744",,,,16,,,,,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","522425",,./0.png
-3.6766611597166,40.4023524023069,"232120",no,,"522426","3",ARB_02-03_0000522426,2019/12/02,,4.5,4,1,GRANDE,MEDIANA,RC,,,SANO,,,,,"231745",,,,16,,,,,REGENERADA,,,,TUTOR_MADERA,,,OTROS,,,"0","522426",,./0.png
-3.67929189722108,40.4034775547458,"232122",no,,"522432","3",ARB_02-03_0000522432,2019/12/02,,4.5,4,1,GRANDE,PEQUENA,RC,,,SANO,,,,,"231747",,,,16,,,,,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","522432",,./0.png
-3.67780429400278,40.4026864425578,"232123",no,,"522434","3",ARB_02-03_0000522434,2019/12/02,,4.5,6,1,GRANDE,MEDIANA,RC,,,SANO,,,,"15","231748",,,,16,,,,,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","522434",,./0.png
-3.66651036597712,40.4530300302278,"232133",,,"522785","5",ARB_02-05_0000522785,,,4,,1,,,RC,,,SANO,,,,,"237287",,,,10,,,,,,,,,TUTOR_MADERA,,,,,,"0","522785",,./0.png
-3.69058621836237,40.4185997242024,"232164",,,"522743","3",ARB_02-03_0000522743,,,4.5,,0.5,,,RC,,,SANO,,,,,"231788",,,,18,,,,,POTABLE,,,,TUTOR_MADERA,,,BOCA_RIEGO,,,"0","522743",,./0.png
-3.69040429935083,40.4178663069271,"232165",,,"522744","3",ARB_02-03_0000522744,,,5,,0.5,,,RC,,,SANO,,,,,"231789",,,,18,,,,,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","522744",,./0.png
-3.66611828346619,40.4549233116434,"232399",,,"522786","5",ARB_02-05_0000522786,,,4.5,,2,,,RC,,,SANO,,,,,"237288",,,,10,,,,,,,,,TUTOR_MADERA,,,,,,"0","522786",,./0.png
-3.68199291372696,40.435656608669,"233862",no,,"520468","4",ARB_02-04_0000520468,2019/02/01,1.8,4.5,3,1,PEQUENA,PEQUENA,NC,,,SANO,,,,,"233511","3",,LLANO,16,,,,,POTABLE,,,BASICO,TUTOR_MADERA,,,OTROS,,,"0","520468",,./0.png
-3.68200863751426,40.4354974166319,"233863",no,,"520470","4",ARB_02-04_0000520470,2019/02/01,2,4.5,3,1,PEQUENA,PEQUENA,NC,,,SANO,,,,,"233512","3",,LLANO,16,,,,,POTABLE,,,BASICO,TUTOR_MADERA,,,OTROS,,,"0","520470",,./0.png
-3.68196691702639,40.43597766344,"233866",no,,"520473","4",ARB_02-04_0000520473,2019/02/01,1.8,4.5,3,1,PEQUENA,PEQUENA,NC,,,SANO,,,,,"233515",,,,16,,,,,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","520473",,./0.png
-3.67234266149287,40.4287449083153,"233874",no,,"520706","4",ARB_02-04_0000520706,2019/02/01,2,4.5,3,1,PEQUENA,PEQUENA,NC,,SUFICIENTE,SANO,,,,"15","233523","3",,LLANO,16,,,,,POTABLE,,,BASICO,TUTOR_MADERA,,,BOCA_RIEGO,,,"0","520706",,./0.png
-3.68453118857685,40.4623302327857,"236638",no,,"396899","5",ARB_02-05_0000014492,2017/11/28,2,3,4,2,GRANDE,GRANDE,NC,,,SANO,ESTRUCTURADO,"3",,,"236270",,,,15,,,,ALCORQUE,,,,,TUTOR_MADERA,,,,,,"0","14492",,./0.png
-3.66539446198417,40.4571267337475,"236748",no,,"399244","5",ARB_02-05_0000016837,,3.2,5,2,3,PEQUENA,PEQUENA,J,,,SANO,ESTRUCTURADO,,,,"236382",,,,15,,,,ALCORQUE,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","16837",,./0.png
-3.67231669606195,40.4515253876679,"236795",no,,"400623","5",ARB_02-05_0000018216,,2,4,2,1,MUY_PEQUENA,GRANDE,NC,,SUFICIENTE,SANO,ESTRUCTURADO,,,,"236429","3",,LLANO,15,,,,TERRIZO,,,,BASICO,TUTOR_MADERA,,,,,,"0","18216",,./0.png
-3.67369202416215,40.4551797441106,"237149",no,,"409883","5",ARB_02-05_0000027606,2017/02/23,,3,4,1,MEDIANA,GRANDE,NC,,,SANO,,,,,"236786",,,,19,,,,ALCORQUE,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","27606",,./0.png
-3.67841732285012,40.4543868499949,"237417",no,,"517131","5",ARB_02-05_0000517131,,,5,,,,,J,,,SANO,,,,,"237057",,,,28,,,,,,,,,,,,,,,"0","517131",,./0.png
-3.67155950938577,40.4489450901,"237427",no,,"517824","5",ARB_02-05_0000517824,2018/11/29,2,4.5,4,1,MEDIANA,PEQUENA,NC,,,SANO,,,,,"237067","5",,LLANO,16,,,,,POTABLE,,,BASICO,TUTOR_MADERA,,,BOCA_RIEGO,,,"0","517824",,./0.png
-3.67172112836131,40.4490697386552,"237428",no,,"517826","5",ARB_02-05_0000517826,2018/11/29,2,4.5,4,1,PEQUENA,GRANDE,NC,,SUFICIENTE,SANO,,,,,"237068","5",,LLANO,16,,,,,POTABLE,,,BASICO,METALICO_3_PIES,,,BOCA_RIEGO,,,"0","517826",,./0.png
